project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
SRP015989	SRS362528	SRX191098	SRR579513	9	46	2363145	6	11	146079	0	0.00000381
SRP018022	SRS362528	SRX218885	SRR651374	8	59	2116198	3	12	145364	0	0.00000378
SRP043368	SRS641361	SRX610347	SRR1424755	12	18	3195605	10	8	110281	0	0.00000376
SRP043108	SRS634213	SRX589527	SRR1377157	5	14	1331812	5	8	92745	0	0.00000375
SRP015989	SRS362528	SRX191095	SRR579385	7	30	1864948	2	11	135481	0	0.00000375
DRP001797	DRS014277	DRX021431	DRR023451	6	165	1602536	4	15	119235	0	0.00000374
SRP040547	SRS581974	SRX500877	SRR1204589	18	0	4833324	17	0	171496	1	0.00000372
SRP030628	SRS488285	SRX361143	SRR1004308	7	32	1880689	6	8	149053	0	0.00000372
SRP017262	SRS376478	SRX205710	SRR620152	13	139	3496685	7	10	120791	0	0.00000372
ERP005641	ERS444315	ERX548811	ERR590822	16	0	4314857	15	0	176764	0	0.00000371
ERP004078	ERS359935	ERX329154	ERR356372	8	263	2157644	8	17	140102	0	0.00000371
SRP044391	SRS661457	SRX655511	SRR1518297	7	0	1896245	7	0	139656	1	0.00000369
SRP035524	SRS538573	SRX441214	SRR1132104	4	82	1091658	3	13	133140	0	0.00000366
SRP043108	SRS634233	SRX589546	SRR1377223	7	4	1913148	7	3	92221	0	0.00000366
SRP043368	SRS641346	SRX610332	SRR1424739	38	107	10546789	26	14	163924	0	0.00000360
SRP043108	SRS634214	SRX589528	SRR1377163	7	22	1946058	7	11	102420	0	0.00000360
SRP015989	SRS362528	SRX191093	SRR579383	5	38	1408089	2	10	131239	0	0.00000355
SRP021891	SRS417036	SRX272491	SRR836000	247	1682	69711760	99	35	423568	0	0.00000354
DRP001797	DRS014272	DRX021426	DRR023380	6	76	1699190	4	13	125517	0	0.00000353
SRP021891	SRS417035	SRX272490	SRR835999	249	1644	70552530	94	34	408819	0	0.00000353
SRP015733	SRS362528	SRX186446	SRR567948	4	19	1134078	2	4	111732	0	0.00000353
SRP026048	SRS452445	SRX314973	SRR921948	28	339	8029141	22	16	250461	0	0.00000349
DRP001797	DRS014275	DRX021429	DRR023417	5	111	1441137	5	11	111081	0	0.00000347
DRP001797	DRS014275	DRX021429	DRR023419	5	128	1445162	5	13	111438	0	0.00000346
SRP043108	SRS634229	SRX589543	SRR1377215	11	12	3189186	6	8	122765	0	0.00000345
SRP027508	SRS458123	SRX323182	SRR935375	48	2190	14039125	33	35	246036	0	0.00000342
SRP041736	SRS603412	SRX534695	SRR1275146	5	0	1463306	5	0	27450	0	0.00000342
DRP001797	DRS014278	DRX021432	DRR023458	6	48	1757383	5	10	129730	0	0.00000341
DRP001797	DRS014278	DRX021432	DRR023456	6	40	1759649	5	9	129675	0	0.00000341
ERP005641	ERS444315	ERX548825	ERR590836	16	0	4705689	12	0	181181	0	0.00000340
SRP040547	SRS582034	SRX500938	SRR1204659	13	0	3863079	8	0	163639	1	0.00000337
ERP005641	ERS444315	ERX548839	ERR590850	16	0	4759645	13	0	181993	0	0.00000336
SRP041736	SRS603391	SRX534674	SRR1275209	1	0	297742	1	0	16853	0	0.00000336
SRP043108	SRS634217	SRX589531	SRR1377176	5	13	1491903	5	7	87594	0	0.00000335
DRP001797	DRS014282	DRX021436	DRR023488	6	37	1794534	6	9	127342	0	0.00000334
SRP044391	SRS661459	SRX655516	SRR1518362	11	0	3293459	11	0	161268	1	0.00000334
DRP001797	DRS016620	DRX021449	DRR023645	5	166	1497898	1	16	114286	0	0.00000334
SRP022361	SRS362528	SRX277264	SRR850107	4	36	1206242	2	9	121073	0	0.00000332
DRP001797	DRS016623	DRX021456	DRR023688	5	131	1534614	4	12	109095	0	0.00000326
SRP041736	SRS603220	SRX534503	SRR1274244	7	0	2148979	3	0	31424	0	0.00000326
SRP026048	SRS452445	SRX314973	SRR921946	23	314	7110263	16	22	239848	0	0.00000323
SRP043108	SRS634215	SRX589530	SRR1377169	5	11	1546546	3	5	93027	0	0.00000323
SRP028346	SRS465599	SRX329596	SRR946052	5	80	1548488	4	12	132824	0	0.00000323
DRP001797	DRS016623	DRX021456	DRR023698	5	153	1566060	4	12	109912	0	0.00000319
SRP043108	SRS634214	SRX589528	SRR1377164	6	34	1880938	6	9	101199	0	0.00000319
SRP015799	SRS362528	SRX188578	SRR573785	4	42	1258615	1	10	122452	0	0.00000318
ERP005641	ERS444314	ERX548838	ERR590849	12	0	3832794	9	0	177806	1	0.00000313
DRP001797	DRS014277	DRX021431	DRR023450	5	142	1600770	4	13	119724	0	0.00000312
SRP043108	SRS634213	SRX589527	SRR1377158	4	20	1284385	3	8	91755	0	0.00000311
SRP041736	SRS603408	SRX534691	SRR1275138	4	0	1288625	4	0	23368	0	0.00000310
DRP001797	DRS014277	DRX021431	DRR023446	5	143	1617328	4	16	119444	0	0.00000309
DRP001797	DRS014279	DRX021433	DRR023467	2	26	649499	2	9	92110	0	0.00000308
SRP018022	SRS362528	SRX218882	SRR651371	6	51	1957651	2	13	141326	0	0.00000306
ERP005641	ERS444315	ERX548797	ERR590808	13	0	4276810	9	0	176454	0	0.00000304
SRP043368	SRS641344	SRX610330	SRR1424737	20	94	6594785	9	12	152252	0	0.00000303
DRP001797	DRS014280	DRX021434	DRR023471	5	54	1650818	4	10	124431	0	0.00000303
SRP041736	SRS603409	SRX534692	SRR1275140	2	0	663773	2	0	14898	0	0.00000301
SRP026048	SRS452445	SRX314973	SRR921949	15	195	4980170	11	16	215597	0	0.00000301
SRP044391	SRS661457	SRX655512	SRR1518298	7	0	2328493	6	0	147415	1	0.00000301
DRP001797	DRS014280	DRX021434	DRR023473	5	49	1663895	5	9	124680	0	0.00000300
SRP041736	SRS603225	SRX534508	SRR1274254	7	0	2335905	5	0	18352	0	0.00000300
DRP001797	DRS014272	DRX021426	DRR023385	5	65	1693246	5	13	125623	0	0.00000295
DRP001797	DRS014273	DRX021427	DRR023390	5	68	1760832	5	11	127671	0	0.00000284
DRP001797	DRS014275	DRX021429	DRR023412	4	111	1411329	4	12	111275	0	0.00000283
ERP005641	ERS444321	ERX548831	ERR590842	16	78	5654276	14	11	200122	0	0.00000283
DRP001797	DRS014274	DRX021428	DRR023402	5	87	1791833	4	12	127249	0	0.00000279
DRP001797	DRS014275	DRX021429	DRR023411	4	104	1439605	2	12	111296	0	0.00000278
DRP001797	DRS014275	DRX021429	DRR023405	4	128	1448982	4	13	111526	0	0.00000276
DRP001797	DRS014275	DRX021429	DRR023410	4	84	1449171	4	13	111465	0	0.00000276
SRP041736	SRS603222	SRX534505	SRR1274248	4	28	1450783	4	2	31946	0	0.00000276
SRP040547	SRS582138	SRX501045	SRR1204782	10	0	3699853	6	0	146775	1	0.00000270
SRP040547	SRS582139	SRX501046	SRR1204784	10	0	3714027	10	0	164773	1	0.00000269
ERP004078	ERS359939	ERX329158	ERR356367	5	327	1863820	5	22	134403	0	0.00000268
SRP040547	SRS581975	SRX500878	SRR1204590	10	0	3728900	9	0	128401	1	0.00000268
DRP001797	DRS016620	DRX021449	DRR023644	4	174	1496608	3	15	114231	0	0.00000267
ERP004078	ERS359936	ERX329155	ERR356366	3	250	1165164	2	15	122272	0	0.00000257
SRP043108	SRS634215	SRX589530	SRR1377172	4	14	1556876	4	9	93317	0	0.00000257
SRP043108	SRS634233	SRX589546	SRR1377224	5	9	1950803	5	5	92534	0	0.00000256
SRP028346	SRS465599	SRX329604	SRR946056	4	85	1589058	2	12	140438	0	0.00000252
SRP043108	SRS634216	SRX589529	SRR1377165	6	33	2428250	5	9	111106	0	0.00000247
SRP015989	SRS362528	SRX191097	SRR579387	5	29	2025793	3	9	138904	0	0.00000247
ERP000546	ERS025086	ERX011193	ERR030878	18	559	7341285	5	16	138361	0	0.00000245
SRP043108	SRS634216	SRX589529	SRR1377168	6	42	2448919	6	10	111266	0	0.00000245
DRP001797	DRS014280	DRX021434	DRR023469	4	36	1665196	4	7	124891	0	0.00000240
SRP015989	SRS362528	SRX191094	SRR579384	5	51	2084591	3	12	142891	0	0.00000240
DRP001797	DRS014280	DRX021434	DRR023470	4	55	1670364	4	10	124626	0	0.00000239
ERP005641	ERS444322	ERX548832	ERR590843	13	5	5459586	10	5	182918	0	0.00000238
SRP043108	SRS634231	SRX589545	SRR1377220	6	27	2524952	6	11	115512	0	0.00000238
SRP040547	SRS582228	SRX501138	SRR1204915	14	0	5892348	9	0	115306	1	0.00000238
SRP043108	SRS634216	SRX589529	SRR1377167	6	27	2536427	6	10	112366	0	0.00000237
DRP001797	DRS014272	DRX021426	DRR023384	4	78	1700851	2	9	125196	0	0.00000235
DRP001797	DRS014279	DRX021433	DRR023461	4	68	1706723	4	12	124593	0	0.00000234
SRP033351	SRS508580	SRX384358	SRR1039521	13	174	5566579	11	12	165973	1	0.00000234
SRP041736	SRS603216	SRX534499	SRR1274236	4	1	1728701	3	1	18914	0	0.00000231
DRP001797	DRS014281	DRX021435	DRR023479	4	101	1739012	4	14	125580	0	0.00000230
DRP001797	DRS014273	DRX021427	DRR023393	4	71	1744198	3	9	127195	0	0.00000229
ERP000546	ERS025085	ERX011200	ERR030882	11	96	4824104	8	14	186933	0	0.00000228
DRP001797	DRS014278	DRX021432	DRR023455	4	48	1771954	4	12	130057	0	0.00000226
SRP043368	SRS641350	SRX610335	SRR1424742	18	96	8019411	9	10	156176	0	0.00000224
SRP043108	SRS634216	SRX589529	SRR1377166	5	22	2344490	5	10	109746	0	0.00000213
ERP005641	ERS444323	ERX548833	ERR590844	11	86	5367142	10	12	180243	0	0.00000205
SRP040547	SRS582155	SRX501062	SRR1204823	23	0	11282834	20	0	221467	1	0.00000204
ERP005641	ERS444323	ERX548819	ERR590830	10	71	4906471	9	10	176238	0	0.00000204
SRP043108	SRS634215	SRX589530	SRR1377170	3	12	1489980	3	7	91380	0	0.00000201
DRP001797	DRS014280	DRX021434	DRR023474	1	16	508628	1	5	85918	0	0.00000197
SRP040547	SRS582141	SRX501048	SRR1204804	10	0	5114579	9	0	164951	1	0.00000196
SRP041736	SRS603415	SRX534698	SRR1275152	2	0	1037356	1	0	21690	0	0.00000193
ERP005641	ERS444321	ERX548817	ERR590828	10	81	5191990	9	14	195045	0	0.00000193
ERP005641	ERS444321	ERX548845	ERR590856	11	88	5724101	9	12	200842	0	0.00000192
SRP040547	SRS582785	SRX501734	SRR1205914	6	0	3141580	5	0	109346	1	0.00000191
DRP001797	DRS016623	DRX021456	DRR023683	3	138	1579990	2	13	109484	0	0.00000190
SRP043108	SRS634215	SRX589530	SRR1377171	3	14	1627852	3	7	94228	0	0.00000184
DRP001797	DRS014282	DRX021436	DRR023489	1	26	550239	1	8	87490	0	0.00000182
SRP033351	SRS508581	SRX384360	SRR1039523	13	286	7294928	9	16	180439	1	0.00000178
DRP001797	DRS014279	DRX021433	DRR023466	3	58	1708110	3	10	124326	0	0.00000176
DRP001797	DRS014273	DRX021427	DRR023391	3	70	1741755	3	10	127335	0	0.00000172
DRP001797	DRS014281	DRX021435	DRR023480	3	96	1743673	3	13	125794	0	0.00000172
DRP001797	DRS014273	DRX021427	DRR023394	3	75	1746555	3	9	127697	0	0.00000172
DRP001797	DRS014273	DRX021427	DRR023389	3	59	1765630	3	11	127707	0	0.00000170
SRP040547	SRS582267	SRX501181	SRR1205045	9	0	5384516	6	0	165193	1	0.00000167
DRP001797	DRS014274	DRX021428	DRR023396	3	110	1802230	2	12	127627	0	0.00000166
DRP001797	DRS014274	DRX021428	DRR023398	3	93	1803968	2	14	127669	0	0.00000166
ERP005641	ERS444323	ERX548805	ERR590816	8	68	4882629	8	11	175778	0	0.00000164
DRP001149	DRS012092	DRX012319	DRR013767	1	0	639129	1	0	56943	0	0.00000156
DRP001797	DRS014275	DRX021429	DRR023421	1	47	640870	1	10	86625	0	0.00000156
DRP001797	DRS014277	DRX021431	DRR023452	2	118	1288166	2	12	112287	0	0.00000155
SRP043108	SRS634218	SRX589532	SRR1377179	4	35	2625617	4	9	109499	0	0.00000152
SRP043108	SRS634213	SRX589527	SRR1377160	2	32	1344188	2	10	93011	0	0.00000149
SRP033351	SRS508582	SRX384359	SRR1039522	10	309	6805868	7	20	176896	1	0.00000147
SRP015733	SRS362528	SRX186445	SRR567947	1	2	703177	1	2	87862	0	0.00000142
SRP044391	SRS661459	SRX655515	SRR1518361	5	0	3539514	3	0	164726	1	0.00000141
ERP004078	ERS359937	ERX329156	ERR356376	3	334	2132450	3	15	133183	0	0.00000141
SRP044391	SRS661460	SRX655518	SRR1518360	5	0	3572715	5	0	164138	1	0.00000140
DRP001797	DRS014275	DRX021429	DRR023407	2	114	1454051	2	12	111424	0	0.00000138
SRP043108	SRS634219	SRX589533	SRR1377183	3	37	2226183	3	11	104672	0	0.00000135
DRP001797	DRS014277	DRX021431	DRR023449	2	134	1590647	2	11	119244	0	0.00000126
SRP043108	SRS634218	SRX589532	SRR1377178	3	19	2424336	3	9	106816	0	0.00000124
SRP043108	SRS634218	SRX589532	SRR1377180	3	26	2536596	3	10	108597	0	0.00000118
DRP001797	DRS014272	DRX021426	DRR023382	2	78	1695077	2	10	125632	0	0.00000118
DRP001797	DRS014272	DRX021426	DRR023379	2	70	1704195	2	9	125966	0	0.00000117
SRP043108	SRS634231	SRX589545	SRR1377221	3	19	2568518	3	7	115701	0	0.00000117
DRP001797	DRS014279	DRX021433	DRR023462	2	55	1715387	2	9	124739	0	0.00000117
ERP005641	ERS444323	ERX548847	ERR590858	6	80	5393371	6	9	180781	0	0.00000111
SRP043108	SRS634233	SRX589546	SRR1377222	2	5	1903402	2	4	92041	0	0.00000105
ERP005641	ERS444322	ERX548804	ERR590815	5	12	4974717	4	6	178540	0	0.00000101
ERP005641	ERS444322	ERX548818	ERR590829	5	7	4993622	4	4	178985	0	0.00000100
SRP043108	SRS634220	SRX589534	SRR1377186	2	31	2020813	2	11	101799	0	0.00000099
SRP044391	SRS661458	SRX655513	SRR1518363	2	0	2154221	2	0	144511	1	0.00000093
SRP015733	SRS362528	SRX186444	SRR567946	1	9	1108450	1	4	105727	0	0.00000090
SRP033351	SRS508579	SRX384357	SRR1039520	4	212	5092229	4	14	166674	1	0.00000079
ERP005641	ERS444321	ERX548803	ERR590814	4	96	5144190	4	13	194630	0	0.00000078
SRP044391	SRS661460	SRX655517	SRR1518359	2	0	2775914	2	0	153346	1	0.00000072
DRP001797	DRS014277	DRX021431	DRR023448	1	136	1596938	1	11	119696	0	0.00000063
DRP001797	DRS014277	DRX021431	DRR023447	1	179	1618716	1	15	119583	0	0.00000062
DRP001797	DRS014277	DRX021431	DRR023445	1	128	1622886	1	16	119757	0	0.00000062
DRP001797	DRS014272	DRX021426	DRR023383	1	63	1681600	1	10	124896	0	0.00000059
SRP043108	SRS634220	SRX589534	SRR1377185	1	17	2105767	1	8	103349	0	0.00000047
SRP043108	SRS634218	SRX589532	SRR1377177	1	34	2512763	1	7	108282	0	0.00000040
ERP005641	ERS444322	ERX548846	ERR590857	2	14	5515415	2	6	183700	0	0.00000036
DRP001797	DRS014274	DRX021428	DRR023403	0	62	1233483	0	12	115480	0	0.00000000
DRP001797	DRS014278	DRX021432	DRR023460	0	2	32059	0	2	17113	0	0.00000000
DRP001797	DRS014281	DRX021435	DRR023475	0	92	1745102	0	11	125596	0	0.00000000
DRP001797	DRS016620	DRX021449	DRR023649	0	2	53168	0	2	24917	0	0.00000000
SRP035524	SRS537989	SRX439979	SRR1130143	0	35	501773	0	7	94245	0	0.00000000
SRP041736	SRS603224	SRX534507	SRR1274252	0	17	1225738	0	3	31806	0	0.00000000
SRP041736	SRS603283	SRX534566	SRR1274370	0	0	302424	0	0	31415	0	0.00000000
SRP041736	SRS603290	SRX534572	SRR1274383	0	0	26787	0	0	11120	0	0.00000000
SRP041736	SRS603298	SRX534581	SRR1274400	0	0	288233	0	0	35201	0	0.00000000
SRP041736	SRS603449	SRX534733	SRR1275133	0	0	69385	0	0	18434	0	0.00000000
SRP041736	SRS603451	SRX534734	SRR1275135	0	0	57765	0	0	18481	0	0.00000000
SRP041736	SRS603411	SRX534694	SRR1275144	0	0	1136572	0	0	21165	0	0.00000000
SRP041736	SRS603412	SRX534695	SRR1275147	0	0	40377	0	0	12441	0	0.00000000
SRP041736	SRS603413	SRX534696	SRR1275148	0	0	761059	0	0	14021	0	0.00000000
SRP041736	SRS603414	SRX534697	SRR1275150	0	0	875768	0	0	16119	0	0.00000000
SRP041736	SRS603379	SRX534662	SRR1275185	0	0	83900	0	0	10268	0	0.00000000
SRP041736	SRS603381	SRX534664	SRR1275189	0	0	121147	0	0	12368	0	0.00000000
SRP041736	SRS603314	SRX534597	SRR1275331	0	0	25621	0	0	11546	0	0.00000000
SRP041736	SRS603305	SRX534588	SRR1275377	0	0	21752	0	0	10389	0	0.00000000
SRP041736	SRS603308	SRX534591	SRR1275383	0	0	30689	0	0	11965	0	0.00000000
SRP041736	SRS603310	SRX534592	SRR1275385	0	0	31689	0	0	11595	0	0.00000000
SRP043108	SRS634220	SRX589534	SRR1377187	0	7	1056239	0	5	78704	0	0.00000000
SRP043108	SRS634220	SRX589534	SRR1377188	0	19	2130506	0	11	103477	0	0.00000000
SRP001599	SRS212582	SRX079567	SRR292242	0	64	693826	0	10	98400	0	0.00000000
SRP001599	SRS212582	SRX079567	SRR390729	0	62	656137	0	10	96718	0	0.00000000
SRP031858	SRS493224	SRX367101	SRR1015689	0	9	554844	0	5	75678	0	0.00000000
SRP015733	SRS362528	SRX186443	SRR567945	0	5	848730	0	3	93492	0	0.00000000
