project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
SRP017262	SRS376471	SRX205703	SRR620100	59	2	7815082	4	1	28449	0	0.00000755
SRP015799	SRS362528	SRX188575	SRR573779	8	21	1068769	2	6	116974	0	0.00000749
SRP043108	SRS634217	SRX589531	SRR1377173	11	19	1470170	11	10	87089	0	0.00000748
SRP015799	SRS362528	SRX188574	SRR573777	10	43	1344856	7	9	126111	0	0.00000744
SRP012656	SRS312066	SRX145876	SRR493938	75	437	10086562	56	18	280227	0	0.00000744
ERP001458	ERS140919	ERX103443	ERR127302	56	0	7556166	37	0	196215	0	0.00000741
SRP028346	SRS465599	SRX329592	SRR946050	10	53	1357425	6	10	127474	0	0.00000737
SRP012656	SRS312076	SRX145886	SRR493957	53	572	7205021	30	20	243519	0	0.00000736
SRP041736	SRS603194	SRX534477	SRR1274192	15	0	2047945	12	0	45075	0	0.00000732
SRP040547	SRS581971	SRX500874	SRR1204586	32	0	4379691	18	0	165230	1	0.00000731
ERP005641	ERS444316	ERX548798	ERR590809	29	0	4009971	18	0	181739	0	0.00000723
SRP041736	SRS603303	SRX534586	SRR1275372	3	0	415557	2	0	29313	0	0.00000722
ERP001458	ERS140922	ERX103447	ERR127305	64	0	8909493	36	0	197532	0	0.00000718
SRP043108	SRS634231	SRX589545	SRR1377219	18	18	2523166	16	7	114840	0	0.00000713
SRP028344	SRS465599	SRX329581	SRR946066	10	80	1407183	5	9	133312	0	0.00000711
SRP041736	SRS603196	SRX534479	SRR1274196	14	0	1970401	8	0	37281	0	0.00000711
SRP001599	SRS212584	SRX079569	SRR292244	4	0	564030	4	0	86702	1	0.00000709
SRP043368	SRS641339	SRX610325	SRR1424732	37	33	5224435	21	10	134581	0	0.00000708
SRP028340	SRS362528	SRX329532	SRR946072	13	98	1845128	8	14	143132	0	0.00000705
DRP001797	DRS014275	DRX021429	DRR023414	10	91	1421964	5	13	110685	0	0.00000703
SRP012656	SRS312070	SRX145880	SRR493945	68	434	9756101	46	16	257681	0	0.00000697
ERP004078	ERS359938	ERX329157	ERR356375	11	215	1592666	4	20	131087	0	0.00000691
SRP041736	SRS603306	SRX534589	SRR1275378	2	2	289854	2	2	32367	0	0.00000690
SRP018022	SRS362528	SRX218263	SRR651370	14	60	2034614	5	10	143440	0	0.00000688
SRP041736	SRS603407	SRX534690	SRR1275136	4	0	582986	2	0	15376	0	0.00000686
ERP000546	ERS025081	ERX011219	ERR030893	40	176	5833924	16	12	162935	0	0.00000686
ERP001458	ERS140923	ERX103449	ERR127309	55	0	8047822	34	0	184209	0	0.00000683
DRP001797	DRS014278	DRX021432	DRR023459	12	40	1756730	7	12	129483	0	0.00000683
ERP000546	ERS025089	ERX011204	ERR030884	45	117	6604205	10	8	139335	0	0.00000681
SRP022361	SRS362528	SRX277265	SRR850108	8	44	1174878	7	11	119472	0	0.00000681
SRP041736	SRS603410	SRX534693	SRR1275142	1	0	146972	1	0	19021	0	0.00000680
ERP001458	ERS140921	ERX103446	ERR127303	55	0	8103248	33	0	200803	0	0.00000679
ERP000546	ERS025086	ERX011188	ERR030897	52	446	7672848	13	13	145244	0	0.00000678
