min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
478	134108	129150	1137	3035	786	132369	127941	1367	1069	372	140
477	134429	129386	1160	3088	795	132676	128172	1378	1074	375	140
476	134744	129635	1176	3133	800	132982	128417	1386	1078	376	140
475	135082	129905	1197	3175	805	133316	128684	1389	1080	377	141
474	135427	130174	1215	3221	817	133653	128951	1395	1082	379	141
473	135800	130461	1236	3278	825	134020	129235	1401	1085	379	141
472	136135	130723	1252	3328	832	134347	129493	1409	1089	379	141
471	136463	130977	1269	3376	841	134671	129746	1413	1090	379	141
470	136827	131251	1294	3429	853	135025	130016	1422	1094	380	141
469	137196	131516	1320	3489	871	135378	130275	1436	1100	382	141
468	137571	131807	1341	3540	883	135743	130561	1445	1105	383	141
467	137911	132049	1360	3601	901	136076	130803	1449	1105	386	141
466	138257	132311	1381	3660	905	136417	131063	1453	1107	387	141
465	138614	132568	1403	3731	912	136762	131314	1462	1112	390	142
464	138984	132847	1432	3779	926	137124	131590	1468	1115	392	142
463	139330	133124	1459	3813	934	137461	131860	1475	1121	394	143
462	139680	133398	1484	3856	942	137804	132131	1481	1124	395	143
461	140059	133672	1511	3926	950	138176	132403	1486	1126	397	143
460	140387	133911	1540	3975	961	138493	132637	1496	1131	398	143
459	140724	134164	1561	4025	974	138817	132887	1504	1133	403	144
458	141096	134450	1583	4078	985	139175	133165	1517	1141	404	144
457	141469	134724	1615	4134	996	139541	133438	1522	1142	406	144
456	141797	134951	1649	4191	1006	139856	133658	1531	1149	410	144
455	142149	135200	1677	4249	1023	140202	133903	1536	1152	411	145
454	142514	135463	1702	4312	1037	140556	134163	1543	1155	415	145
453	142843	135710	1719	4364	1050	140880	134410	1546	1155	417	145
452	143225	135980	1751	4430	1064	141251	134675	1557	1160	417	145
451	143598	136244	1785	4486	1083	141607	134932	1570	1167	421	145
450	143957	136521	1808	4534	1094	141960	135208	1575	1168	422	145
449	144303	136750	1842	4602	1109	142287	135430	1589	1175	427	145
448	144675	137008	1871	4669	1127	142646	135684	1601	1179	428	145
447	145053	137266	1900	4749	1138	143010	135937	1613	1184	430	145
446	145428	137534	1926	4809	1159	143373	136201	1621	1187	434	146
445	145801	137810	1952	4869	1170	143734	136471	1631	1192	436	147
444	146200	138096	1993	4934	1177	144124	136755	1639	1193	437	148
443	146610	138390	2027	5005	1188	144525	137044	1645	1197	440	149
